Code d�partement,Code de la commune,Cl� unique,Commune,Couleur politique
1,283,1_283,Oyonnax,LDVD
987,33,987_33,Paea,LMAJ
22,162,22_162,Paimpol,LDVD
988,890,988_890,Pa�ta,LDVD
91,477,91_477,Palaiseau,LUG
976,515,976_515,PAMANDZI,LAUT
87,114,87_114,Panazol,LDVG
987,34,987_34,Papara,LDVD
33,312,33_312,Parempuyre,LDVG
74,208,74_208,Passy,LDVD
64,445,64_445,Pau,LUG
33,314,33_314,Pauillac,LSOC
59,456,59_456,Pecquencourt,LDVG
13,69,13_69,P�lissanne,LMAJ
24,322,24_322,P�rigueux,LUG
34,198,34_198,P�rols,LDVD
80,620,80_620,P�ronne,LSOC
66,136,66_136,Perpignan,LMAJ
84,89,84_89,Pertuis,LMAJ
971,118,971_118,Petit-Bourg,LDVG
971,119,971_119,Petit-Canal,LDVG
974,405,974_405,Petite-Ile,LSOC
57,537,57_537,Petite-Rosselle,LDVG
6,95,6_95,Peymeinade,LDVD
13,73,13_73,Peypin,LDVG
13,74,13_74,Peyrolles-en-Provence,LMAJ
34,199,34_199,P�zenas,LDVD
57,540,57_540,Phalsbourg,LDVG
93,59,93_59,Pierrefitte-sur-Seine,LUG
34,202,34_202,Pignan,LDVG
987,36,987_36,Pirae,LMAJ
45,252,45_252,Pithiviers,LSOC
31,424,31_424,Plaisance-du-Touch,LSOC
22,176,22_176,Pl�dran,LUG
22,186,22_186,Pl�neuf-Val-Andr�,LDVD
22,187,22_187,Pl�rin,LUG
22,198,22_198,Pleumeur-Bodou,LDVG
56,162,56_162,Ploemeur,LUG
56,165,56_165,Plo�rmel,LDVG
29,189,29_189,Plougastel-Daoulas,LDVD
29,195,29_195,Plouguerneau,LDVD
56,169,56_169,Plouhinec,LDVD
29,197,29_197,Plouhinec,LDVD
29,207,29_207,Plourin-l�s-Morlaix,LUG
56,176,56_176,Pluneret,LDVG
988,822,988_822,Poindimi�,LDVG
971,120,971_120,Pointe-�-Pitre,LDVG
78,498,78_498,Poissy,LGC
27,469,27_469,Pont de l'Arche,LSOC
47,209,47_209,Pont-du-Casse,LMAJ
60,509,60_509,Pont-Sainte-Maxence,LSOC
44,129,44_129,Pontch�teau,LDVD
22,251,22_251,Pordic,LSOC
44,132,44_132,Pornichet,LDVD
971,122,971_122,Port-Louis,LDVG
66,148,66_148,Port-Vendres,LMAJ
26,252,26_252,Portes-l�s-Valence,LUG
31,433,31_433,Portet-sur-Garonne,LUG
2A,247,2A_247,Porto-Vecchio,LMAJ
30,206,30_206,Poulx,LDVD
85,182,85_182,Pouzauges,LDVD
66,149,66_149,Prades,LMAJ
34,217,34_217,Prades-le-Lez,LDVG
24,340,24_340,Prigonrieux,LDVG
83,99,83_99,Puget-sur-Argens,LDVD
987,38,987_38,Punaauia,LMAJ
92,62,92_62,Puteaux,LMAJ
56,185,56_185,Qu�ven,LDVG
29,232,29_232,Quimper,LUG
29,233,29_233,Quimperl�,LDVD
31,446,31_446,Ramonville-Saint-Agne,LUG
51,454,51_454,Reims,LUG
973,309,973_309,Remire-Montjoly,LDVG
88,383,88_383,Remiremont,LMAJ
35,238,35_238,Rennes,LSOC
83,104,83_104,Rians,LDVD
56,193,56_193,Riantec,LAUT
69,286,69_286,Rillieux-la-Pape,LSOC
972,221,972_221,Rivi�re-Sal�e,LMAJ
42,187,42_187,Roanne,LUG
42,189,42_189,Roche-la-Moli�re,LSOC
17,299,17_299,Rochefort,LUG
30,217,30_217,Rochefort-du-Gard,LMAJ
13,81,13_81,Rognac,LDVD
13,82,13_82,Rognes,LMAJ
77,390,77_390,Roissy-en-Brie,LUG
63,307,63_307,Romagnat,LUG
93,63,93_63,Romainville,LUG
26,281,26_281,Romans-sur-Is�re,LUG
57,591,57_591,Rombas,LDVG
10,323,10_323,Romilly-sur-Seine,LMAJ
6,105,6_105,Roquefort-les-Pins,LMAJ
13,86,13_86,Roquevaire,LDVG
67,411,67_411,Rosheim,LDVD
22,266,22_266,Rostrenen,LDVD
59,512,59_512,Roubaix,LGC
16,287,16_287,Roullet Saint-Est�phe,LDVD
63,308,63_308,Royat,LMAJ
74,225,74_225,Rumilly,LMAJ
94,65,94_65,Rungis,LMAJ
976,516,976_516,SADA,LAUT
29,247,29_247,Saint Evarzec,LDVD
41,198,41_198,Saint-Aignan,LDVD
73,222,73_222,Saint-Alban-Leysse,LDVG
18,197,18_197,Saint-Amand-Montrond,LDVD
974,409,974_409,Saint-Andr�,LDVG
34,239,34_239,Saint-Andr�-de-Sangonis,LAUT
78,537,78_537,Saint-Arnoult-en-Yvelines,LDVD
22,278,22_278,Saint-Brieuc,LMC
22,282,22_282,Saint-Cast-Le-Guildo,LDVD
13,92,13_92,Saint-Chamas,LMAJ
42,207,42_207,Saint-Chamond,LSOC
48,140,48_140,Saint-Ch�ly-d'Apcher,LDVD
30,243,30_243,Saint-Christol-l�s-Al�s,LDVG
69,191,69_191,Saint-Cyr-au-Mont-d'Or,LDVD
83,112,83_112,Saint-Cyr-sur-Mer,LMAJ
93,66,93_66,Saint-Denis,LCOM
974,411,974_411,Saint-Denis,LSOC
69,194,69_194,Saint-Didier-au-Mont-d'Or,LDVD
88,413,88_413,Saint-Di�,LSOC
38,382,38_382,Saint-Egr�ve,LCMD
972,223,972_223,Saint-Esprit,LMAJ
66,172,66_172,Saint-Est�ve,LSOC
42,218,42_218,Saint-Etienne,LSOC
18,207,18_207,Saint-Florent-sur-Cher,LCOM
89,345,89_345,Saint-Florentin,LDVD
69,199,69_199,Saint-Fons,LUG
971,125,971_125,Saint-Fran�ois,LAUT
69,204,69_204,Saint-Genis-Laval,LCMD
34,259,34_259,Saint-Georges-d'Orques,LDVD
61,397,61_397,Saint-Germain-du-Corb�is,LDVG
91,552,91_552,Saint-Germain-l�s-Arpajon,LSOC
91,553,91_553,Saint-Germain-l�s-Corbeil,LDVD
30,258,30_258,Saint-Gilles,LMAJ
9,261,9_261,Saint-Girons,LSOC
35,278,35_278,Saint-Gr�goire,LMAJ
38,397,38_397,Saint-Ismier,LDVD
45,284,45_284,Saint-Jean-de-Braye,LUG
73,248,73_248,Saint-Jean-de-Maurienne,LMAJ
34,270,34_270,Saint-Jean-de-V�das,LDVG
6,122,6_122,Saint-Jeannet,LDVD
74,242,74_242,Saint-Jorioz,LDVD
74,243,74_243,Saint-Julien-en-Genevois,LSOC
10,343,10_343,Saint-Julien-les-Villas,LDVD
33,424,33_424,Saint-Laurent-M�doc,LDVD
62,755,62_755,Saint-L�onard,LDVG
87,161,87_161,Saint-L�onard-de-Noblat,LDVG
974,413,974_413,Saint-Leu,LCMD
60,584,60_584,Saint-Leu-d'Esserent,LAUT
95,563,95_563,Saint-Leu-la-For�t,LMAJ
68,297,68_297,Saint-Louis,LMAJ
974,414,974_414,Saint-Louis,LUG
44,175,44_175,Saint-Lyphard,LDVD
31,499,31_499,Saint-Lys,LDVG
35,288,35_288,Saint-Malo,LMAJ
42,256,42_256,Saint-Marcellin-en-Forez,LDVG
44,179,44_179,Saint-Mars-du-D�sert,LDVD
40,273,40_273,Saint-Martin-de-Seignanx,LDVG
30,284,30_284,Saint-Martin-de-Valgalgues,LDVD
34,276,34_276,Saint-Mathieu-de-Tr�viers,LDVG
94,68,94_68,Saint-Maur-des-Foss�s,LMAJ
54,482,54_482,Saint-Max,LDVD
83,116,83_116,Saint-Maximin-la-Sainte-Baume,LMAJ
33,449,33_449,Saint-M�dard-en-Jalles,LSOC
35,297,35_297,Saint-M�en-le-Grand,LDVD
91,570,91_570,Saint-Michel-sur-Orge,LMAJ
13,98,13_98,Saint-Mitre-les-Remparts,LMAJ
88,429,88_429,Saint-Nabord,LDVD
44,184,44_184,Saint-Nazaire,LUG
78,571,78_571,Saint-Nom-la-Bret�che,LDVD
62,765,62_765,Saint-Omer,LUG
31,506,31_506,Saint-Orens-de-Gameville,LUG
93,70,93_70,Saint-Ouen,LUG
50,532,50_532,Saint-Pair-sur-Mer,LDVD
