"Tables Départements et académies",Tables Effectifs scolarisés (1),Tables Évolution 2020/2021 (%),Tables Effectifs d’habitants,Tables Taux de scolari- sation (%),title,doc_id,type,uploaded_from,doc_meta_data,folder_name,folder_id,created_at_iso,modified_at_iso,status,review_url,user_doc_id
Corse,55 112,"0,7",349 168,"15,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Corse,55 112,"0,7",349 168,"15,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Meurthe-et-Moselle,200 562,"- 0,9",730 751,"27,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Meuse,31 787,"- 1,9",179 847,"17,7",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Moselle,195 224,"0,0",1 052 071,"18,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Vosges,64 770,"- 1,0",357 967,"18,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Nancy-Metz,492 343,"- 0,6",2 320 636,"21,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Ardennes,48 977,"- 1,5",266 851,"18,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Aube,62 980,"- 0,5",312 245,"20,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Marne,137 185,"- 0,3",566 513,"24,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Haute-Marne,29 389,"- 1,3",168 770,"17,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Reims,278 531,"- 0,7",1 314 379,"21,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Bas-Rhin,273 320,"0,5",1 163 027,"23,5",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Haut-Rhin,153 854,"- 0,4",769 737,"20,0",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Strasbourg,427 174,"0,2",1 932 764,"22,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Grand Est,1 198 048,"- 0,3",5 567 779,"21,5",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Aisne,107 877,"- 0,2",525 226,"20,5",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Oise,179 699,"0,1",832 317,"21,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Somme,138 939,"- 0,3",565 614,"24,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Amiens,426 515,"- 0,1",1 923 157,"22,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Nord,708 465,"0,7",2 614 378,"27,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Pas-de-Calais,316 827,"- 0,8",1 458 532,"21,7",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Lille,1 025 292,"0,2",4 072 910,"25,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
